Topic to send: test-topic
Topic to acks: 1
Records: 80000
Size:1000
440 records sent, 87,4 records/sec (0,08 MB/sec), 11,4 ms avg latency, 640,0 ms max latency.
283 records sent, 56,0 records/sec (0,05 MB/sec), 17,8 ms avg latency, 209,0 ms max latency.
378 records sent, 73,4 records/sec (0,07 MB/sec), 13,6 ms avg latency, 217,0 ms max latency.
318 records sent, 62,1 records/sec (0,06 MB/sec), 16,1 ms avg latency, 646,0 ms max latency.
544 records sent, 106,0 records/sec (0,10 MB/sec), 9,4 ms avg latency, 627,0 ms max latency.
463 records sent, 92,0 records/sec (0,09 MB/sec), 10,8 ms avg latency, 209,0 ms max latency.
454 records sent, 90,6 records/sec (0,09 MB/sec), 11,0 ms avg latency, 620,0 ms max latency.
286 records sent, 56,4 records/sec (0,05 MB/sec), 17,7 ms avg latency, 648,0 ms max latency.
277 records sent, 54,7 records/sec (0,05 MB/sec), 18,3 ms avg latency, 637,0 ms max latency.
274 records sent, 53,4 records/sec (0,05 MB/sec), 18,7 ms avg latency, 1523,0 ms max latency.
260 records sent, 51,6 records/sec (0,05 MB/sec), 19,4 ms avg latency, 643,0 ms max latency.
326 records sent, 64,1 records/sec (0,06 MB/sec), 15,6 ms avg latency, 209,0 ms max latency.
269 records sent, 52,8 records/sec (0,05 MB/sec), 18,9 ms avg latency, 647,0 ms max latency.
315 records sent, 62,0 records/sec (0,06 MB/sec), 16,1 ms avg latency, 209,0 ms max latency.
380 records sent, 73,9 records/sec (0,07 MB/sec), 13,5 ms avg latency, 633,0 ms max latency.
195 records sent, 38,7 records/sec (0,04 MB/sec), 25,8 ms avg latency, 1511,0 ms max latency.
467 records sent, 91,6 records/sec (0,09 MB/sec), 10,9 ms avg latency, 649,0 ms max latency.
281 records sent, 55,5 records/sec (0,05 MB/sec), 18,0 ms avg latency, 209,0 ms max latency.
335 records sent, 65,6 records/sec (0,06 MB/sec), 15,2 ms avg latency, 209,0 ms max latency.
441 records sent, 87,9 records/sec (0,08 MB/sec), 11,4 ms avg latency, 625,0 ms max latency.
467 records sent, 85,2 records/sec (0,08 MB/sec), 11,7 ms avg latency, 639,0 ms max latency.
335 records sent, 65,3 records/sec (0,06 MB/sec), 15,3 ms avg latency, 646,0 ms max latency.
418 records sent, 80,6 records/sec (0,08 MB/sec), 12,4 ms avg latency, 209,0 ms max latency.
424 records sent, 81,5 records/sec (0,08 MB/sec), 12,3 ms avg latency, 209,0 ms max latency.
339 records sent, 66,2 records/sec (0,06 MB/sec), 15,1 ms avg latency, 628,0 ms max latency.
